,reaction,lb,ub
490,EX_ps_hs[e],0.0,1000
491,EX_ptdca[e],0.0,1000
492,EX_retfa[e],0.0,1000
493,EX_retinol_9_cis[e],0.0,1000
494,EX_retinol_cis_11[e],0.0,1000
495,EX_strdnc[e],0.0,1000
496,EX_tag_hs[e],0.0,1000
497,EX_tethex3[e],0.0,1000
498,EX_tetpent3[e],0.0,1000
499,EX_tetpent6[e],0.0,1000
500,EX_tettet6[e],0.0,1000
501,EX_tmndnc[e],0.0,1000
502,EX_ttdca[e],0.0,1000
503,EX_vacc[e],0.0,1000
504,EX_xolest_hs[e],0.0,1000
505,EX_xolest2_hs[e],0.0,1000
506,EX_xoltri24[e],0.0,1000
507,EX_xoltri25[e],0.0,1000
508,EX_xoltri27[e],0.0,1000
509,EX_4abutn[e],0.0,1000
510,EX_ahdt[e],0.0,1000
511,EX_ctp[e],0.0,1000
512,EX_dgmp[e],0.0,1000
513,EX_dgtp[e],0.0,1000
514,EX_dha[e],0.0,1000
515,EX_dhap[e],0.0,1000
516,EX_dtmp[e],0.0,1000
517,EX_dttp[e],0.0,1000
518,EX_fad[e],0.0,1000
519,EX_fald[e],0.0,1000
520,EX_g1p[e],0.0,1000
521,EX_HC00229[e],0.0,1000
522,EX_HC01440[e],0.0,1000
523,EX_HC01441[e],0.0,1000
524,EX_HC01446[e],0.0,1000
525,EX_HC01577[e],0.0,1000
526,EX_HC01609[e],0.0,1000
527,EX_HC01610[e],0.0,1000
528,EX_HC01700[e],0.0,1000
529,EX_HC02160[e],0.0,1000
530,EX_HC02161[e],0.0,1000
531,EX_prpp[e],0.0,1000
532,EX_udpg[e],0.0,1000
533,EX_prostgh2[e],0.0,1000
534,EX_prostgi2[e],0.0,1000
535,EX_cdp[e],0.0,1000
536,EX_dtdp[e],0.0,1000
537,EX_HC00955[e],0.0,1000
538,EX_HC00002[e],0.0,1000
539,EX_HC00003[e],0.0,1000
540,EX_HC00004[e],0.0,1000
541,EX_HC01852[e],0.0,1000
542,EX_HC01939[e],0.0,1000
543,EX_HC01942[e],0.0,1000
544,EX_HC01943[e],0.0,1000
545,EX_HC01944[e],0.0,1000
546,EX_HC00822[e],0.0,1000
547,EX_C02528[e],0.0,1000
548,EX_HC02192[e],0.0,1000
549,EX_HC02193[e],0.0,1000
550,EX_HC02195[e],0.0,1000
551,EX_HC02196[e],0.0,1000
552,EX_HC02220[e],0.0,1000
553,EX_HC02154[e],0.0,1000
554,EX_HC02199[e],0.0,1000
555,EX_HC02200[e],0.0,1000
556,EX_HC02201[e],0.0,1000
557,EX_HC02191[e],0.0,1000
558,EX_HC02194[e],0.0,1000
559,EX_HC02197[e],0.0,1000
560,EX_HC02198[e],0.0,1000
561,EX_HC02187[e],0.0,1000
562,EX_HC02180[e],0.0,1000
563,EX_HC02202[e],0.0,1000
564,EX_HC02203[e],0.0,1000
565,EX_HC02204[e],0.0,1000
566,EX_HC02205[e],0.0,1000
567,EX_HC02206[e],0.0,1000
568,EX_HC02207[e],0.0,1000
569,EX_HC02208[e],0.0,1000
570,EX_HC02210[e],0.0,1000
571,EX_HC02213[e],0.0,1000
572,EX_HC02214[e],0.0,1000
573,EX_HC02216[e],0.0,1000
574,EX_HC02217[e],0.0,1000
575,EX_malcoa[e],0.0,1000
576,EX_arachcoa[e],0.0,1000
577,EX_coa[e],0.0,1000
578,EX_CE2250[e],0.0,1000
579,EX_CE1935[e],0.0,1000
580,EX_CE1940[e],0.0,1000
581,EX_CE1943[e],0.0,1000
582,EX_CE2011[e],0.0,1000
583,EX_CE1939[e],0.0,1000
584,EX_maltpt[e],0.0,1000
585,EX_CE2915[e],0.0,1000
586,EX_CE4722[e],0.0,1000
587,EX_CE2916[e],0.0,1000
588,EX_CE4723[e],0.0,1000
589,EX_CE2917[e],0.0,1000
590,EX_CE4724[e],0.0,1000
591,EX_malthp[e],0.0,1000
592,EX_CE2838[e],0.0,1000
593,EX_CE1950[e],0.0,1000
594,EX_cynt[e],0.0,1000
595,EX_23cump[e],0.0,1000
596,EX_3ump[e],0.0,1000
597,EX_CE5786[e],0.0,1000
598,EX_CE5788[e],0.0,1000
599,EX_CE5789[e],0.0,1000
600,EX_CE5797[e],0.0,1000
601,EX_CE5798[e],0.0,1000
602,EX_CE5787[e],0.0,1000
603,EX_CE5791[e],0.0,1000
604,EX_CE5867[e],0.0,1000
605,EX_CE5868[e],0.0,1000
606,EX_CE5869[e],0.0,1000
607,EX_CE4633[e],0.0,1000
608,EX_CE4881[e],0.0,1000
609,EX_CE5854[e],0.0,1000
610,EX_CE1926[e],0.0,1000
611,EX_udpgal[e],0.0,1000
612,EX_crm_hs[e],0.0,1000
613,EX_galside_hs[e],0.0,1000
614,EX_CE0074[e],0.0,1000
615,EX_cdpea[e],0.0,1000
616,EX_12dgr120[e],0.0,1000
617,EX_CE5853[e],0.0,1000
618,EX_CE1925[e],0.0,1000
619,EX_C04849[e],0.0,1000
620,EX_3bcrn[e],0.0,1000
621,EX_3ddcrn[e],0.0,1000
622,EX_3deccrn[e],0.0,1000
623,EX_3hdececrn[e],0.0,1000
624,EX_3hexdcrn[e],0.0,1000
625,EX_3ivcrn[e],0.0,1000
626,EX_3octdec2crn[e],0.0,1000
627,EX_3octdeccrn[e],0.0,1000
628,EX_3octdece1crn[e],0.0,1000
629,EX_3tdcrn[e],0.0,1000
630,EX_3tetd7ecoacrn[e],0.0,1000
631,EX_3thexddcoacrn[e],0.0,1000
632,EX_3ttetddcoacrn[e],0.0,1000
633,EX_c101crn[e],0.0,1000
634,EX_c10crn[e],0.0,1000
635,EX_c10dc[e],0.0,1000
636,EX_c12dc[e],0.0,1000
637,EX_c16dc[e],0.0,1000
638,EX_c3dc[e],0.0,1000
639,EX_c4crn[e],0.0,1000
640,EX_c4dc[e],0.0,1000
641,EX_c51crn[e],0.0,1000
642,EX_c5dc[e],0.0,1000
643,EX_c6crn[e],0.0,1000
644,EX_c6dc[e],0.0,1000
645,EX_c81crn[e],0.0,1000
646,EX_c8crn[e],0.0,1000
647,EX_c8dc[e],0.0,1000
648,EX_ddece1crn[e],0.0,1000
649,EX_ddecrn[e],0.0,1000
650,EX_decdicrn[e],0.0,1000
651,EX_doco13ac[e],0.0,1000
652,EX_docosac[e],0.0,1000
653,EX_docosdiac[e],0.0,1000
654,EX_ivcrn[e],0.0,1000
655,EX_tetdec2crn[e],0.0,1000
656,EX_tetdece1crn[e],0.0,1000
657,EX_4hpro[e],0.0,1000
658,EX_adpcbl[e],0.0,1000
659,EX_alaala[e],0.0,1000
660,EX_bglc[e],0.0,1000
661,EX_carn[e],0.0,1000
662,EX_dchac[e],0.0,1000
663,EX_glgchlo[e],0.0,1000
664,EX_gltcho[e],0.0,1000
665,EX_gltdechol[e],0.0,1000
666,EX_glygly[e],0.0,1000
667,EX_glysar[e],0.0,1000
668,EX_gum[e],0.0,1000
669,EX_gumdchac[e],0.0,1000
670,EX_gumgchol[e],0.0,1000
671,EX_gumtchol[e],0.0,1000
672,EX_leugly[e],0.0,1000
673,EX_leuleu[e],0.0,1000
674,EX_pect[e],0.0,1000
675,EX_pectindchac[e],0.0,1000
676,EX_pectingchol[e],0.0,1000
677,EX_pectintchol[e],0.0,1000
678,EX_psyl[e],0.0,1000
679,EX_psylchol[e],0.0,1000
680,EX_psyltchol[e],0.0,1000
681,EX_psyltdechol[e],0.0,1000
682,EX_sfcys[e],0.0,1000
683,EX_tdechola[e],0.0,1000
684,EX_cysam[e],0.0,1000
685,EX_dpcoa[e],0.0,1000
686,EX_fmn[e],0.0,1000
687,EX_hyptaur[e],0.0,1000
